Sr. No.,Frame Material,Pane Material,Frame E [GPa],Frame K IC [MPa m^[1/2]],Frame alpha [1E-6/K],Frame k [W/m-K],Frame kappa [W m^2/J],Pane E [GPa],Pane K IC [MPa m^[1/2]],Pane alpha [1E-6/K],Pane k [W/m-K],Pane kappa [W m^2/J],Pane Area,Fillet Scale,Pane Depth,Frame Scale,Frame Safety Factor,Pane Safety Factor,Frame Fracture Factor,Pane Fracture Factor
1,C-C,Alumina,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.01,0.25,0.01,0.95,0.238,0.092,0.435,0.064
2,C-C,Alumina,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.01,0.5,0.01,0.95,0.233,0.091,0.433,0.062
3,C-C,Alumina,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.01,0.25,0.01,0.975,0.219,0.085,0.685,0.064
4,C-C,Alumina,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.01,0.5,0.01,0.975,0.213,0.084,0.456,0.066
5,C-C,Alumina,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.1,0.25,0.01,0.95,0.119,0.069,0.043,0.024
6,C-C,Alumina,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.1,0.5,0.01,0.95,0.118,0.069,0.048,0.025
7,C-C,Alumina,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.1,0.25,0.01,0.975,0.097,0.051,0.038,0.026
8,C-C,Alumina,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.1,0.5,0.01,0.975,0.095,0.051,0.03,0.024
9,C-C,Alumina,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.1,0.25,0.025,0.95,0.269,0.107,0.454,0.073
10,C-C,Alumina,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.1,0.5,0.025,0.95,0.262,0.105,0.536,0.072
11,C-C,Alumina,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.1,0.25,0.025,0.975,0.25,0.098,0.692,0.073
12,C-C,Alumina,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.1,0.5,0.025,0.975,0.241,0.095,0.482,0.076
13,C-C,SCFS,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.01,0.25,0.01,0.95,0.911,0.29,0.696,0.032
14,C-C,SCFS,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.01,0.5,0.01,0.95,0.925,0.266,0.637,0.031
15,C-C,SCFS,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.01,0.25,0.01,0.975,0.866,0.263,0.493,0.03
16,C-C,SCFS,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.01,0.5,0.01,0.975,0.888,0.296,0.436,0.032
17,C-C,SCFS,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.1,0.25,0.01,0.95,1.007,0.366,1.357,0.041
